YEAR.x;pltID;LAT;LON;state.x;species;gdd;abundance
2015;9_23_17_10486;44.28411;-70.93439;ME;;353.0274;876.0318
2014;3_50_21_809;43.6334;-72.80534;VT;;456.8139;872.7625
2015;2_50_5_1312;44.32411;-72.25762;VT;;448.6575;872.7625
2015;2_33_7_1814;44.3649;-71.21448;NH;;301.5752;867.265
2015;2_33_3_848;43.77312;-71.24921;NH;;460.9384;866.7444
2015;2_54_75_7800;38.65031;-79.62534;WV;;605.8394;857.9776
2014;3_50_3_1202;43.24245;-72.97228;VT;;482.5356;854.7083
2016;3_23_19_1683;45.58137;-68.87959;ME;;395.84;848.6903
2016;8_36_111_3887;41.95797;-74.50288;NY;;518.0349;848.6903
2015;4_37_11_8;36.13876;-82.01199;NC;;728.7515;846.4621
2014;3_50_21_2116;43.79776;-72.8364;VT;;416.7594;845.9416
2015;4_36_41_2756;43.79033;-74.53455;NY;;443.8429;845.9416
2014;2_33_7_359;44.31735;-71.23741;NH;;304.6621;842.6722
2015;1_36_89_6150;44.31082;-74.9512;NY;;502.8627;842.6722
2016;3_21_13_15;36.6345;-83.74349;KY;;1054.977;842.6722
2016;1_25_3_741;42.16528;-73.06694;MA;;525.4789;842.6722
2015;2_18_71_20098;38.84777;-85.98918;IN;;1086.187;836.6542
2015;3_23_19_749;45.37311;-68.12139;ME;;382.5605;836.6542
2016;5_23_21_1040;45.45177;-68.96904;ME;;391.6375;833.9055
2014;7_36_83_2989;42.67458;-73.3179;NY;;566.7529;830.6361
2016;3_33_1_62;43.53704;-71.56848;NH;;481.7565;827.8874
2015;3_26_165_20047;44.25665;-85.65432;MI;;482.113;824.6181
2015;3_23_19_56;44.98208;-69.24308;ME;;426.814;824.6181
2016;2_54_83_5515;38.63762;-79.84334;WV;;603.6553;824.6181
2015;4_36_113_1114;43.69149;-73.53387;NY;;577.0419;821.8694
2015;1_36_89_5574;44.08468;-74.87684;NY;;479.6753;819.1206
2016;3_36_43_6185;43.451;-74.80371;NY;;447.275;815.8513
2016;2_50_15_1013;44.77744;-72.69609;VT;;392.1994;815.8513
2015;6_42_113_3995;41.42382;-76.43289;PA;;569.6134;813.1026
2015;3_36_43_546;43.79633;-75.09199;NY;;484.4105;809.8333
2016;6_23_11_58;44.562;-69.94385;ME;;422.5651;809.8333
2013;3_36_43_6633;43.41442;-75.05386;NY;;546.3584;803.8152
2013;3_50_21_2176;43.40445;-72.88268;VT;;470.7762;803.8152
2015;3_36_43_3762;43.37208;-74.86787;NY;;477.9961;803.8152
2016;3_50_3_312;43.23112;-72.94293;VT;;456.3519;803.8152
2016;5_23_21_201;45.49964;-68.9449;ME;;391.6375;801.0665
2016;8_23_31_1365;43.50087;-70.78242;ME;;465.9494;801.0665
2016;3_50_25_1485;43.0006;-72.90402;VT;;456.3519;801.0665
2015;6_42_117_5090;41.90783;-77.00407;PA;;568.9241;797.7972
2016;2_54_83_8138;38.56491;-79.96098;WV;;603.6553;797.7972
2012;3_26_165_20248;44.20368;-85.60521;MI;;519.2781;785.7611
2013;6_42_47_12116;41.60779;-78.75166;PA;;640.4543;785.7611
2014;4_36_31_3097;44.38025;-73.58865;NY;;500.8147;785.7611
2016;3_26_165_20101;44.24046;-85.65031;MI;;471.6488;785.7611
2014;4_36_31_2285;44.06617;-74.02351;NY;;383.1194;780.2636
2013;2_54_83_5435;38.96605;-79.60235;WV;;664.7497;779.7431
2014;1_36_33_4345;44.4518;-74.33419;NY;;477.2393;779.7431
2015;6_42_47_5487;41.54163;-78.78524;PA;;621.3575;776.9943
2016;5_23_21_509;45.36262;-68.90228;ME;;391.6375;770.9763
2016;2_33_3_1373;43.73893;-71.2473;NH;;449.5674;770.9763
2015;1_36_45_1312;43.70255;-75.91559;NY;;552.5638;767.707
2013;4_36_41_583;43.43147;-74.31555;NY;;441.0838;761.6889
2014;3_36_43_5369;43.59277;-75.09601;NY;;501.5527;758.9402
2014;3_50_21_515;43.5969;-73.06458;VT;;575.8287;758.9402
2016;2_33_7_2799;44.30168;-71.09388;NH;;287.091;750.1734
2013;2_33_7_277;44.42086;-71.16226;NH;;318.1707;746.9041
2014;2_54_83_1458;38.78803;-79.64193;WV;;645.2646;746.9041
2016;3_50_27_818;43.32618;-72.83402;VT;;439.4757;746.9041
2016;3_36_43_2946;44.01021;-74.95293;NY;;454.0959;744.1554
2013;5_36_9_1718;42.11495;-78.54981;NY;;570.8704;740.886
2015;6_42_83_1484;41.63833;-78.21202;PA;;588.3855;740.886
2016;3_36_43_3532;43.68756;-74.82626;NY;;413.5885;738.1373
2016;4_23_9_359;44.63503;-68.12;ME;;374.5604;734.868
2016;4_36_113_1587;43.63998;-74.07732;NY;;364.3531;734.868
2015;2_33_3_2512;43.97184;-71.20802;NH;;460.9384;728.85
2013;5_36_9_6549;42.14359;-78.46046;NY;;563.4365;722.8319
2013;2_33_9_1935;43.95446;-71.7891;NH;;419.2756;722.8319
2014;1_36_89_6121;44.19288;-74.86065;NY;;471.219;722.8319
2013;2_33_9_515;43.93257;-71.70621;NH;;421.0089;720.0832
2015;6_36_15_4918;42.0931;-76.58705;NY;;581.2377;720.0832
2016;1_36_89_1840;44.42125;-74.80927;NY;;481.4424;716.8139
2015;4_36_41_7556;43.96325;-74.46304;NY;;408.4992;714.0651
2013;2_33_7_2774;44.4651;-71.2841;NH;;269.7095;710.7958
2016;1_21_71_6;37.56094;-82.86969;KY;;1050.225;710.7958
2016;3_36_49_6426;43.93924;-75.19891;NY;;452.4462;708.0471
2015;3_50_3_1315;42.78871;-73.14597;VT;;512.077;704.7778
2016;7_23_25_1456;45.20805;-69.95357;ME;;360.7643;704.7778
2013;4_36_41_1159;43.97555;-74.49129;NY;;404.2013;699.2803
2013;6_42_105_3221;41.9464;-77.92612;PA;;527.5427;698.7597
2013;6_42_47_6114;41.24305;-78.29728;PA;;704.8345;698.7597
2014;4_36_113_4535;43.33783;-73.79979;NY;;540.8959;698.7597
2014;3_50_1_224;43.9414;-73.05671;VT;;591.0943;698.7597
2015;7_23_25_1461;45.1312;-69.7078;ME;;359.528;698.7597
2015;5_23_21_1926;45.37713;-68.95013;ME;;399.6876;698.7597
2014;8_36_111_4315;42.01442;-74.48701;NY;;477.491;696.011
2015;2_33_3_216;44.17113;-71.05611;NH;;350.4896;696.011
2016;9_23_17_1383;44.28948;-70.91551;ME;;336.9811;696.011
2016;2_23_3_331;46.93088;-68.51298;ME;;348.4992;693.2623
2014;3_50_3_1295;42.99899;-73.08428;VT;;504.5745;692.7417
2014;6_42_83_5036;41.75886;-78.65849;PA;;558.6985;689.9929
2013;1_21_193_12;37.32251;-83.39456;KY;;1139.298;686.7236
2015;2_23_3_417;45.6769;-68.04535;ME;;398.2681;686.7236
2015;4_36_41_779;43.60533;-74.50402;NY;;386.5712;683.9749
2016;5_23_21_658;45.89452;-68.82527;ME;;311.7445;683.9749
2015;1_26_97_20425;45.80923;-84.57676;MI;;456.0417;680.7056
2016;3_54_25_1598;38.18517;-80.52205;WV;;717.5023;680.7056
2014;6_42_117_5475;41.60692;-77.1744;PA;;545.6707;671.9388
2015;3_36_43_6119;43.55918;-75.053;NY;;501.8131;671.9388
2015;4_36_113_3969;43.51591;-73.68211;NY;;577.0419;665.9208
2016;3_23_19_623;45.94203;-68.58674;ME;;381.5952;665.9208
2016;6_42_31_1003;40.99658;-79.56308;PA;;729.7959;665.9208
2015;1_26_95_20221;46.59378;-85.59231;MI;;353.6975;659.9027
2015;2_33_9_2401;44.06529;-71.40047;NH;;251.318;659.9027
2015;3_50_3_1639;42.82211;-73.08275;VT;;512.077;659.9027
2016;3_36_43_2098;43.9336;-74.8405;NY;;425.0783;657.154
2016;1_36_33_6336;44.26929;-74.38129;NY;;467.6696;657.154
2012;3_47_43_43;36.26111;-87.23179;TN;;1340.957;653.8847
2014;4_36_113_5478;43.66322;-74.10677;NY;;397.2656;653.8847
2015;3_23_19_46;45.67554;-68.46871;ME;;407.7165;653.8847
2015;2_50_23_1004;44.08671;-72.80999;VT;;421.6927;651.1359
2014;6_36_25_6246;42.21789;-74.58054;NY;;469.4802;647.8666
2015;3_50_3_439;42.84552;-72.99757;VT;;473.5125;647.8666
2016;4_36_31_4653;44.09614;-73.58676;NY;;456.3078;647.8666
2014;8_36_39_5012;42.2664;-74.15375;NY;;567.4043;645.1179
2013;2_33_9_1061;44.25425;-71.67083;NH;;381.4314;641.8486
2014;6_42_83_7043;41.73363;-78.77271;PA;;615.013;641.8486
2015;3_50_27_1169;43.57619;-72.42588;VT;;557.8749;641.8486
2016;7_23_25_1406;45.05516;-70.13309;ME;;342.5788;639.0998
2014;3_50_3_2644;42.80115;-73.1479;VT;;504.5745;635.8305
2014;4_36_31_5013;44.06486;-74.19184;NY;;383.1194;633.0818
2016;5_23_21_1867;46.29022;-69.49687;ME;;351.1384;633.0818
2014;6_42_83_6629;41.94701;-78.79127;PA;;586.0838;629.8125
2013;2_33_3_725;44.14316;-71.37316;NH;;264.0996;627.0638
2016;8_42_89_1893;41.22298;-75.46903;PA;;579.5809;627.0638
2014;1_36_89_1560;44.41765;-74.71429;NY;;475.9237;623.7944
2015;2_54_75_5175;38.61489;-79.68331;WV;;605.8394;623.7944
2016;2_24_25_1245;39.41994;-76.19918;MD;;962.4309;623.7944
2015;5_23_21_1753;45.39482;-69.3401;ME;;363.7528;621.0457
2016;2_54_83_260;38.75539;-79.56696;WV;;608.4982;621.0457
2014;5_36_9_1837;42.00789;-78.42389;NY;;542.0009;617.7764
2016;2_23_3_1171;46.96615;-69.30667;ME;;335.5854;617.7764
2016;1_25_3_898;42.62886;-73.13835;MA;;512.2491;617.7764
2015;3_50_3_1124;42.79306;-73.1174;VT;;512.077;615.5483
2014;1_36_89_5304;44.56392;-74.79215;NY;;530.5666;615.0277
2015;4_36_41_3425;43.44765;-74.59919;NY;;426.9998;612.2789
2015;3_21_51_12;37.22027;-83.52451;KY;;1100.552;611.7583
2014;3_36_35_6129;43.14467;-74.47824;NY;;508.0596;609.0096
2016;2_54_101_1632;38.3241;-80.44802;WV;;697.7201;609.0096
2016;6_42_81_1187;41.47882;-76.88071;PA;;629.8427;606.2609
2013;2_33_3_744;43.87585;-71.018;NH;;481.6298;605.7403
2016;2_33_3_28;43.63959;-71.10613;NH;;449.5674;605.7403
2012;3_21_121_2;36.77335;-83.92924;KY;;1168.664;599.7223
2013;2_54_83_2379;38.85787;-79.72639;WV;;664.7497;596.9735
2014;2_50_17_1120;44.15064;-72.35407;VT;;418.2635;596.9735
2016;2_33_7_2828;44.23213;-71.40898;NH;;240.4684;596.9735
2015;6_42_81_402;41.54865;-76.84089;PA;;546.5187;590.9555
2016;8_36_111_5343;41.89109;-74.40617;NY;;565.6094;590.9555
2016;2_36_99_4903;42.67791;-76.73182;NY;;602.4289;590.9555
2016;4_36_41_3139;43.59758;-74.26429;NY;;355.6899;590.9555
2016;4_36_41_6118;43.53454;-74.48647;NY;;355.6899;590.9555
2014;8_42_89_5937;41.16286;-75.40109;PA;;600.9352;584.9374
2015;4_36_31_57;44.01154;-74.19548;NY;;389.9833;584.9374
2016;6_42_123_1474;41.88235;-79.58187;PA;;570.5066;584.9374
2016;6_42_113_592;41.36635;-76.41601;PA;;532.2183;584.9374
2015;7_23_25_559;45.52294;-69.77424;ME;;370.3416;578.9194
2015;1_36_33_5508;44.32957;-74.40766;NY;;490.3468;578.9194
2015;6_42_47_335;41.50204;-78.6203;PA;;596.6497;578.9194
2016;2_33_3_871;44.02802;-71.31835;NH;;240.4684;578.9194
2016;3_50_3_553;42.85774;-73.13825;VT;;475.5399;578.9194
2013;6_36_7_3398;42.14175;-75.51264;NY;;636.2423;572.9013
2014;3_26_89_20099;45.10208;-86.00921;MI;;480.1105;572.9013
2014;4_36_41_6758;43.4101;-74.65844;NY;;427.1237;572.9013
2014;2_33_7_2816;44.36432;-71.30899;NH;;259.4485;572.9013
2015;3_33_17_811;43.45641;-71.10044;NH;;496.3861;572.9013
2016;1_21_195_62;37.68339;-82.52336;KY;;1073.121;572.9013
2013;4_36_31_4851;44.40688;-74.01298;NY;;452.8871;566.8833
2013;7_42_21_5148;40.28995;-78.68177;PA;;709.2218;566.8833
2014;3_36_43_4751;43.7004;-74.87058;NY;;446.3167;566.8833
2015;4_36_41_508;43.37332;-74.8304;NY;;477.9961;566.8833
2015;8_42_89_3710;41.19304;-75.51408;PA;;607.1315;566.8833
2015;3_50_1_1422;44.0228;-73.04648;VT;;595.4058;566.8833
2016;4_36_41_4406;44.07192;-74.73184;NY;;448.2123;566.8833
2013;8_36_111_590;42.11502;-74.47774;NY;;487.2415;564.1346
2015;3_50_3_2640;42.76335;-73.00165;VT;;512.077;564.1346
2013;1_25_3_38;42.59099;-73.04362;MA;;557.557;560.8652
2014;2_54_71_5123;38.74089;-79.53852;WV;;606.6203;560.8652
2014;3_33_17_265;43.23548;-70.89496;NH;;561.0075;560.8652
2016;2_23_3_459;47.1658;-69.1209;ME;;329.3404;560.8652
2016;2_51_31_2;37.16542;-79.36743;VA;;1145.057;560.8652
2016;2_33_7_552;44.58021;-71.33872;NH;;324.5608;560.8652
2014;1_26_3_20164;46.44791;-86.9836;MI;;379.7769;558.1165
2016;2_33_3_96;43.98534;-71.24233;NH;;438.0004;558.1165
2016;3_50_1_704;43.98311;-72.91335;VT;;396.3568;558.1165
2014;6_42_105_3858;41.516;-77.95875;PA;;557.3698;554.8472
2014;3_50_25_164;42.96468;-72.93644;VT;;465.8553;554.8472
2015;2_39_167_7351;39.50323;-81.25836;OH;;917.7646;554.8472
2015;6_42_117_6045;41.75711;-76.9254;PA;;551.368;554.8472
2016;2_54_83_8095;38.80833;-79.67537;WV;;608.4982;554.8472
2015;1_36_33_7190;44.34312;-74.37969;NY;;490.3468;552.0985
2016;2_23_3_892;46.39825;-67.97758;ME;;358.8604;552.0985
2014;4_23_9_1246;44.78709;-68.27666;ME;;392.1919;548.8292
2014;4_36_31_4933;43.80063;-73.6845;NY;;527.677;548.8292
2015;2_18_13_20045;39.26382;-86.30303;IN;;1004.439;548.8292
2015;3_39_59_6994;39.91548;-81.55261;OH;;908.7195;548.8292
2015;2_23_3_597;47.16048;-68.14136;ME;;347.1203;548.8292
2016;5_23_21_1075;45.85006;-69.07096;ME;;344.7226;548.8292
2016;2_23_3_1096;46.95474;-68.69584;ME;;348.4992;548.8292
2014;2_33_9_207;44.04392;-71.63581;NH;;250.7559;546.0804
2014;2_33_3_215;44.2716;-71.03087;NH;;304.6621;546.0804
2016;6_42_83_6972;41.72946;-78.70724;PA;;551.0674;546.0804
2014;6_42_47_12377;41.49259;-78.95674;PA;;661.0743;542.8111
2015;6_42_83_6200;41.81381;-78.79259;PA;;591.8517;542.8111
2016;7_23_25_1739;46.41958;-69.79871;ME;;332.3495;542.8111
2016;4_36_31_6613;43.83628;-73.81298;NY;;432.7616;542.8111
2016;3_50_21_2130;43.63632;-72.8675;VT;;435.3233;542.8111
2014;3_36_49_6045;43.7715;-75.13727;NY;;481.1543;540.0624
2016;8_36_105_3;41.64131;-74.8553;NY;;623.449;540.0624
2016;2_33_9_476;43.89357;-72.07486;NH;;461.0803;540.0624
2015;4_36_41_3957;43.55935;-74.57554;NY;;386.5712;537.3137
2013;3_26_79_20078;44.7707;-85.31469;MI;;523.1516;536.7931
2013;3_37_69_40;36.00943;-78.48832;NC;;1304.609;536.7931
2013;2_33_7_1839;44.32639;-71.51749;NH;;381.4314;536.7931
2014;6_36_17_5663;42.48146;-75.61845;NY;;604.5167;536.7931
2014;3_36_49_5816;43.57335;-75.63783;NY;;491.8041;536.7931
2015;6_42_105_5024;41.66443;-78.00905;PA;;588.3855;536.7931
2015;3_54_5_187;38.11854;-81.94933;WV;;1062.198;536.7931
2016;2_18_117_10210;38.65331;-86.60531;IN;;1059.306;536.7931
2014;6_42_123_7331;41.65249;-79.35863;PA;;660.7193;534.0443
2014;2_33_7_2839;44.13681;-71.3227;NH;;251.8943;534.0443
2015;8_36_95_387;42.49709;-74.51632;NY;;487.7026;534.0443
2016;9_23_17_716;44.72045;-70.59116;ME;;345.9408;534.0443
2016;2_33_3_1511;44.13224;-71.36495;NH;;240.4684;534.0443
2013;1_36_89_134;44.34132;-75.16194;NY;;540.8979;530.775
2015;1_23_29_1149;45.36693;-67.86655;ME;;370.6355;530.775
2015;3_23_19_1222;45.67829;-68.65639;ME;;410.3141;530.775
2015;2_23_3_557;46.78041;-68.71333;ME;;360.8312;530.775
2015;3_33_5_668;42.9635;-72.15708;NH;;551.3569;530.775
2016;4_36_41_5553;43.90948;-74.41137;NY;;374.9297;530.775
2016;1_36_33_2310;44.62144;-73.9903;NY;;432.5217;530.775
2016;6_42_53_12493;41.48828;-79.11934;PA;;627.532;530.775
2016;1_51_101_23;37.73854;-77.2473;VA;;1190.694;530.775
2016;3_37_197_25;36.2435;-80.46891;NC;;1253.921;530.775
2013;2_33_3_651;44.05491;-71.25677;NH;;264.0996;528.0263
2015;3_23_19_52;44.70491;-69.15141;ME;;405.0347;528.0263
2015;4_36_41_4129;43.87468;-74.35591;NY;;408.4992;528.0263
2015;5_36_9_566;42.20506;-78.40226;NY;;546.5788;528.0263
2016;2_33_3_2539;43.86096;-71.47666;NH;;355.8802;528.0263
2013;1_26_95_20240;46.62961;-85.8232;MI;;366.3105;524.757
2014;1_36_89_6603;44.52298;-74.80022;NY;;530.5666;524.757
2014;3_33_5_165;43.02385;-72.16792;NH;;476.2301;524.757
2016;2_54_75_121;38.6896;-79.77953;WV;;603.6553;524.757
2016;2_51_143_55;37.05192;-79.21185;VA;;1141.147;524.757
2015;2_54_75_2059;38.21004;-80.21567;WV;;823.3306;522.0082
2015;3_54_5_139;38.0899;-81.71729;WV;;1053.152;522.0082
2015;3_50_3_3472;42.91041;-73.08694;VT;;512.077;522.0082
2016;4_36_31_592;43.92022;-73.86159;NY;;432.7616;522.0082
2014;3_50_3_2625;42.94335;-73.14307;VT;;504.5745;519.2595
2015;5_23_21_2035;45.75008;-69.18274;ME;;351.2796;515.9902
2015;7_23_25_1156;44.93599;-69.46091;ME;;429.9359;515.9902
2015;9_23_17_6916;44.37098;-70.98559;ME;;353.0274;515.9902
2015;6_36_77_4242;42.68626;-75.16831;NY;;558.1162;515.9902
2016;7_23_25_477;45.14059;-70.25242;ME;;309.5795;515.9902
2016;2_33_9_1048;44.09093;-71.66084;NH;;241.7147;515.9902
2016;4_36_41_6162;43.34796;-74.8458;NY;;447.275;513.2415
2013;3_50_3_865;42.89941;-73.17837;VT;;515.803;509.9722
2013;1_25_11_456;42.47158;-72.71707;MA;;717.9233;509.9722
2014;2_21_135_18;38.61763;-83.22167;KY;;1002.293;509.9722
2013;1_36_33_1015;44.20524;-74.51761;NY;;459.1216;503.9541
2015;3_36_43_5933;43.50888;-74.80089;NY;;445.5719;501.2054
2013;2_50_9_141;44.86521;-71.7828;VT;;375.1213;497.9361
2015;6_36_109_5595;42.44907;-76.36357;NY;;597.3867;497.9361
2015;6_42_83_4722;41.87357;-78.78872;PA;;591.8517;497.9361
2015;2_50_9_1302;44.4587;-71.8037;VT;;402.5654;497.9361
2016;4_36_31_3634;44.05748;-73.82432;NY;;323.515;497.9361
2016;5_23_21_1619;45.44946;-68.84849;ME;;391.6375;495.1873
2013;4_36_41_1625;43.38652;-74.70174;NY;;429.2647;491.918
2015;1_9_3_15;41.79984;-72.78437;CT;;675.7544;491.918
2016;4_36_31_3679;43.9978;-74.18215;NY;;402.7119;491.918
2016;2_33_9_279;43.71411;-71.80045;NH;;439.7633;491.918
2016;3_50_3_835;42.90023;-72.96222;VT;;439.4652;491.918
2013;4_36_41_2456;43.28227;-74.41481;NY;;441.0838;489.1693
2014;4_36_41_2916;43.79543;-74.58474;NY;;441.2303;485.9
2015;3_51_59_49;39.05263;-77.32569;VA;;937.3492;485.9
2015;2_33_3_1099;43.82501;-71.51682;NH;;407.735;485.9
2016;2_51_147_40;37.10041;-78.40317;VA;;1174.967;485.9
2016;3_33_19_369;43.49987;-72.17613;NH;;455.7043;485.9
2015;9_23_17_1395;44.32299;-70.91269;ME;;353.0274;483.1512
2013;6_36_17_2861;42.29469;-75.61007;NY;;624.2859;479.8819
2013;3_36_35_5044;43.20609;-74.29504;NY;;512.512;479.8819
2013;6_42_83_4727;41.86466;-78.36702;PA;;591.4138;479.8819
2013;6_42_81_5929;41.56109;-76.88202;PA;;575.7753;479.8819
2013;3_50_7_523;44.57068;-72.89326;VT;;450.8872;479.8819
2014;4_36_41_2151;43.54598;-74.22279;NY;;397.2656;479.8819
2015;1_26_3_20088;46.31256;-86.64284;MI;;368.2558;479.8819
2015;8_42_127_6161;41.58161;-75.45204;PA;;629.9503;479.8819
2015;2_54_83_64;38.60139;-80.19241;WV;;707.0501;479.8819
2015;2_33_9_1909;44.10903;-71.79744;NH;;365.1949;479.8819
2016;6_42_83_7146;41.68101;-78.92912;PA;;572.6148;479.8819
2016;6_42_83_6853;41.8284;-78.83692;PA;;543.2609;479.8819
2015;5_23_21_72;45.65511;-69.0644;ME;;335.6866;477.1332
2014;6_36_25_2858;41.98247;-75.26871;NY;;593.0763;473.8639
2014;1_36_33_6216;44.18067;-74.48262;NY;;460.8241;473.8639
2014;4_36_41_2140;44.07508;-74.41472;NY;;460.8241;473.8639
2014;4_36_41_4288;43.669;-74.28396;NY;;389.124;473.8639
2014;4_36_41_2805;43.61308;-74.5301;NY;;387.3842;473.8639
2014;3_50_27_751;43.51094;-72.52424;VT;;470.3923;473.8639
2014;2_50_19_1338;44.91705;-72.45283;VT;;439.4321;473.8639
2015;3_26_29_20109;45.20716;-84.84116;MI;;443.1101;473.8639
2015;1_23_29_1131;44.94954;-67.65638;ME;;358.1106;473.8639
2015;4_36_31_4219;43.8842;-73.8121;NY;;469.7056;473.8639
2016;3_50_1_900;43.8961;-72.91247;VT;;396.3568;473.8639
2014;8_36_111_1846;42.07559;-74.26224;NY;;477.491;471.1151
2015;4_36_31_5444;43.85188;-73.95443;NY;;469.7056;471.1151
2016;7_36_91_1305;43.15017;-74.08775;NY;;519.9477;471.1151
2014;1_26_33_20505;46.01198;-83.72059;MI;;449.0572;467.8458
2014;4_36_113_5029;43.61309;-74.15398;NY;;397.2656;467.8458
2014;3_33_5_726;43.10824;-72.11535;NH;;476.2301;467.8458
2014;3_50_21_1204;43.51178;-73.05603;VT;;575.8287;467.8458
2015;8_23_31_720;43.73432;-70.78043;ME;;493.8704;467.8458
2015;7_36_115_1432;43.16347;-73.56085;NY;;702.6389;467.8458
2015;6_42_81_1149;41.50263;-77.39085;PA;;582.0567;467.8458
2015;6_42_47_10597;41.51498;-78.81842;PA;;621.3575;467.8458
2015;2_54_101_8496;38.31313;-80.43134;WV;;739.5443;467.8458
2016;5_23_21_1135;45.88886;-69.42873;ME;;360.6951;467.8458
2016;3_50_3_1089;43.15139;-72.92398;VT;;456.3519;467.8458
2014;4_36_41_133;43.79181;-74.76535;NY;;453.4913;465.0971
2014;4_36_41_6380;43.56466;-74.74626;NY;;387.3842;465.0971
2015;6_23_27_1721;44.3494;-69.4005;ME;;416.2099;465.0971
2016;3_36_43_4937;44.03169;-74.93078;NY;;454.0959;465.0971
2016;1_25_3_343;42.70442;-73.04579;MA;;512.2491;465.0971
2013;3_21_25_6;37.46567;-83.16656;KY;;1102.269;461.8278
2014;2_54_75_7806;38.62296;-79.84306;WV;;639.2864;461.8278
2015;1_21_71_15;37.64568;-82.72274;KY;;1109.26;461.8278
2015;3_54_25_1238;38.04283;-80.80779;WV;;906.9888;461.8278
2015;2_50_9_20;44.81494;-71.66352;VT;;376.3707;461.8278
2016;6_23_27_310;44.58105;-68.9476;ME;;413.0155;461.8278
2016;2_54_83_8150;38.49626;-80.17909;WV;;631.8423;461.8278
2014;7_36_91_445;43.33758;-74.15796;NY;;460.8978;459.0791
2015;4_23_9_337;45.13729;-68.12206;ME;;376.563;459.0791
2015;2_54_77_1386;39.28771;-79.61562;WV;;736.642;459.0791
2016;6_36_25_327;42.13397;-75.24797;NY;;524.2572;459.0791
2013;6_42_83_5906;41.87782;-78.63025;PA;;581.0852;455.8097
